cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
0,9,1,365,"offshore grid, 0.0503, 230, 366 ; offshore wind, 0.0238, 227, 494 ; wind power, 0.0208, 112, 214 ; north sea, 0.0153, 100, 176 ; offshore grids, 0.0151, 49, 62",0.4699,1.0,offshore grid ; offshore wind ; wind power ; north sea ; offshore grids
1,0,0,24,"sustainable energy, 0.0889, 8, 16 ; energy consumption, 0.0628, 4, 12 ; energy islands, 0.0567, 9, 11 ; energy sources, 0.0390, 8, 10 ; rights reserved, 0.0365, 6, 6",0.2917,1.0,sustainable energy ; energy consumption ; energy islands ; energy sources ; rights reserved
2,2,48,1,"land plant, 0.0325, 33, 89 ; land facility, 0.0239, 31, 63 ; local plan, 0.0231, 24, 80 ; high voltage, 0.0189, 16, 28 ; sustainable energy, 0.0164, 1, 1",0.515,1.0,land plant ; land facility ; local plan ; high voltage ; sustainable energy
3,0,0,37,"energy system, 0.0558, 12, 26 ; energy island, 0.0484, 24, 31 ; energy systems, 0.0338, 8, 13 ; power systems, 0.0296, 7, 9 ; energy storage, 0.0289, 9, 14",0.3658,1.0,energy system ; energy island ; energy systems ; power systems ; energy storage
4,0,0,47,"renewable energy, 0.0793, 30, 57 ; elsevier ltd, 0.0397, 18, 18 ; energy system, 0.0346, 15, 31 ; energy island, 0.0337, 26, 40 ; energy conversion, 0.0315, 5, 5",0.4596,1.0,renewable energy ; elsevier ltd ; energy system ; energy island ; energy conversion
5,1,22,0,"district heating, 0.0362, 15, 41 ; klaus vesløv, 0.0229, 5, 25 ; gas station, 0.0198, 5, 9 ; green fuels, 0.0169, 10, 31 ; rønne harbor, 0.0154, 12, 30",0.4116,1.0,district heating ; klaus vesløv ; gas station ; green fuels ; rønne harbor
6,0,26,1,"baltic sea, 0.0217, 17, 34 ; green energy, 0.0171, 13, 45 ; national center, 0.0169, 8, 38 ; baltic energy, 0.0169, 9, 27 ; baltic energy island, 0.0143, 7, 23",0.4593,1.0,baltic sea ; green energy ; national center ; baltic energy ; baltic energy island
7,0,16,0,"transformer station, 0.0240, 7, 16 ; energy island, 0.0227, 16, 61 ; new jobs, 0.0177, 1, 2 ; green transition, 0.0164, 6, 9 ; electricity prices, 0.0162, 1, 6",0.4792,1.0,transformer station ; energy island ; new jobs ; green transition ; electricity prices
8,0,18,0,"united states, 0.0289, 2, 8 ; debate salon, 0.0151, 8, 17 ; young people, 0.0135, 2, 10 ; baltic sea, 0.0131, 12, 19 ; lag bornholm, 0.0106, 2, 2",0.2741,1.0,united states ; debate salon ; young people ; baltic sea ; lag bornholm
9,1,24,0,"lars aagaard, 0.0182, 11, 29 ; jacob trøst, 0.0172, 15, 44 ; climate energy, 0.0144, 5, 6 ; climate energy supply, 0.0139, 1, 1 ; says jacob, 0.0111, 9, 23",0.376,1.0,lars aagaard ; jacob trøst ; climate energy ; climate energy supply ; says jacob
10,0,15,0,"baltic sea, 0.0492, 12, 61 ; home guard, 0.0350, 2, 20 ; security policy, 0.0341, 8, 21 ; baltic bridge, 0.0217, 3, 10 ; citizens association, 0.0208, 1, 1",0.44,1.0,baltic sea ; home guard ; security policy ; baltic bridge ; citizens association
11,0,16,0,"land facilities, 0.0219, 1, 2 ; baltic sea, 0.0202, 11, 35 ; artificial island, 0.0171, 4, 7 ; climate action, 0.0160, 2, 2 ; make possible, 0.0158, 3, 3",0.2833,1.0,land facilities ; baltic sea ; artificial island ; climate action ; make possible
12,12,11,0,"offshore wind, 0.0280, 22, 182 ; wind turbines, 0.0242, 19, 86 ; offshore wind turbines, 0.0210, 15, 51 ; danish energy, 0.0202, 15, 44 ; danish energy agency, 0.0194, 12, 41",0.7913,1.0,offshore wind ; wind turbines ; offshore wind turbines ; danish energy ; danish energy agency
13,8,34,0,"energy islands bornholm, 0.0322, 39, 216 ; islands bornholm, 0.0322, 39, 216 ; energy islands, 0.0266, 41, 271 ; state aid, 0.0106, 13, 32 ; søren møller christensen, 0.0086, 8, 35",0.8063,1.0,energy islands bornholm ; islands bornholm ; energy islands ; state aid ; søren møller christensen
14,0,68,1,"energy island, 0.0187, 68, 400 ; really good, 0.0173, 5, 7 ; green transition, 0.0142, 29, 87 ; election campaign, 0.0131, 3, 8 ; business park, 0.0129, 20, 65",0.457,1.0,energy island ; really good ; green transition ; election campaign ; business park
15,56,10,0,"million tonnes, 0.0163, 12, 25 ; natural gas, 0.0126, 15, 43 ; climate council, 0.0114, 14, 44 ; green power, 0.0102, 25, 75 ; paris agreement, 0.0092, 7, 19",0.2212,1.0,million tonnes ; natural gas ; climate council ; green power ; paris agreement
16,0,41,0,"social democracy, 0.0513, 34, 188 ; municipal council, 0.0295, 30, 137 ; anne thomas, 0.0267, 8, 77 ; top candidate, 0.0218, 14, 46 ; rené danielsson, 0.0170, 7, 38",0.5675,1.0,social democracy ; municipal council ; anne thomas ; top candidate ; rené danielsson
17,0,31,0,"municipal council, 0.0359, 19, 57 ; next year, 0.0223, 12, 33 ; corporate tax, 0.0206, 1, 17 ; savings catalog, 0.0154, 7, 21 ; 000 kroner, 0.0135, 5, 20",0.3548,1.0,municipal council ; next year ; corporate tax ; savings catalog ; 000 kroner
18,7,81,0,"bornholm offshore, 0.0181, 7, 9 ; bornholm offshore wind, 0.0181, 6, 8 ; offshore wind, 0.0158, 72, 566 ; wind turbines, 0.0136, 57, 202 ; rønne harbor, 0.0126, 22, 71",0.3114,1.0,bornholm offshore ; bornholm offshore wind ; offshore wind ; wind turbines ; rønne harbor
19,34,1,2,"north sea, 0.0299, 31, 152 ; island north, 0.0200, 23, 43 ; island north sea, 0.0200, 23, 43 ; energy island, 0.0192, 35, 313 ; energy island north, 0.0188, 22, 36",0.7351,1.0,north sea ; island north ; island north sea ; energy island ; energy island north
20,9,6,0,"hanne storm, 0.0341, 8, 48 ; storm edlefsen, 0.0295, 7, 38 ; hanne storm edlefsen, 0.0295, 7, 38 ; energy islands, 0.0219, 15, 101 ; says hanne, 0.0145, 7, 19",0.56,1.0,hanne storm ; storm edlefsen ; hanne storm edlefsen ; energy islands ; says hanne
21,3,26,0,"electricity grid, 0.0275, 22, 84 ; bornholm electricity, 0.0262, 19, 53 ; bornholm electricity grid, 0.0147, 14, 34 ; net east, 0.0143, 9, 21 ; el net east, 0.0138, 1, 1",0.5678,1.0,electricity grid ; bornholm electricity ; bornholm electricity grid ; net east ; el net east
